                             title                             | count 
 A Street Cat Named Bob                                        |     3
 Central Intelligence                                          |     3
 Lawless                                                       |     2
 Shooter                                                       |     3
 Ouija: Origin of Evil                                         |     2
 Prisoners                                                     |     3
 Live by Night                                                 |     2
 The Age of Adaline                                            |     3
 Passengers                                                    |     3
 Enemy                                                         |     2
 Allied                                                        |     3
 Couples Retreat                                               |     1
 The Longest Ride                                              |     2
 The Illusionist                                               |     3
 Crawlspace                                                    |     2
 Step Brothers                                                 |     1
 Gravity                                                       |     3
 Happy Feet                                                    |     3
 Step Up                                                       |     3
 Self/less                                                     |     3
 Pet                                                           |     2
 Creed                                                         |     2
 Don't Breathe                                                 |     3
 American Wrestler: The Wizard                                 |     2
 Public Enemies                                                |     3
 21                                                            |     3
 The Twilight Saga: Breaking Dawn - Part 1                     |     3
 Under the Skin                                                |     3
 Texas Chainsaw 3D                                             |     2
 Hacker                                                        |     3
 Blood Diamond                                                 |     3
 Rescue Dawn                                                   |     3
 Suite Française                                               |     3
 Storks                                                        |     3
 Split                                                         |     2
 Let Me In                                                     |     3
 Captain America: Civil War                                    |     3
 Collateral Beauty                                             |     2
 Stardust                                                      |     3
 Zack and Miri Make a Porno                                    |     2
 In Dubious Battle                                             |     1
 Entourage                                                     |     1
 The Choice                                                    |     2
 Wrath of the Titans                                           |     3
 Footloose                                                     |     3
 10 Cloverfield Lane                                           |     3
 Genius                                                        |     2
 King Cobra                                                    |     2
 Rupture                                                       |     3
 Megan Is Missing                                              |     3
 Keanu                                                         |     2
 Unfriended                                                    |     3
 X: First Class                                                |     3
 The Equalizer                                                 |     3
 Inside Out                                                    |     3
 21 Jump Street                                                |     3
 In Bruges                                                     |     3
 The Imitation Game                                            |     3
 Perfetti sconosciuti                                          |     2
 Night at the Museum: Secret of the Tomb                       |     3
 Horrible Bosses                                               |     2
 Carol                                                         |     2
 Satanic                                                       |     1
 Pitch Perfect                                                 |     3
 Argo                                                          |     3
 Sex and the City 2                                            |     3
 Fracture                                                      |     3
 Mama                                                          |     2
 The Skin I Live In                                            |     2
 Daddy's Home                                                  |     2
 Bahubali: The Beginning                                       |     3
 Grown Ups 2                                                   |     1
 Knocked Up                                                    |     2
 Me and Earl and the Dying Girl                                |     2
 The Bourne Ultimatum                                          |     3
 Blair Witch                                                   |     2
 Gods of Egypt                                                 |     3
 Hacksaw Ridge                                                 |     3
 The Conjuring                                                 |     3
 Batman v Superman: Dawn of Justice                            |     3
 Brimstone                                                     |     3
 Funny Games                                                   |     3
 Trance                                                        |     3
 La vie d'Adèle                                                |     2
 The Hunger Games                                              |     3
 5- 25- 77                                                     |     2
 La migliore offerta                                           |     3
 Kung Fu Panda                                                 |     3
 Dragonball Evolution                                          |     3
 The Siege of Jadotville                                       |     3
 Terminator Salvation                                          |     3
 Coraline                                                      |     3
 I Spit on Your Grave                                          |     3
 Love                                                          |     2
 Up in the Air                                                 |     2
 Inglourious Basterds                                          |     3
 The Expendables                                               |     3
 Trust                                                         |     3
 Quantum of Solace                                             |     3
 Lone Survivor                                                 |     3
 The Strangers                                                 |     3
 Fury                                                          |     3
 The Danish Girl                                               |     3
 This Is the End                                               |     2
 Monsters University                                           |     3
 Skyfall                                                       |     3
 Ratatouille                                                   |     3
 Silent Hill                                                   |     3
 Iron Man 2                                                    |     3
 Pandorum                                                      |     3
 Slither                                                       |     3
 The Walk                                                      |     3
 Unknown                                                       |     3
 The Hobbit: The Battle of the Five Armies                     |     2
 Spectral                                                      |     3
 The Assassination of Jesse James by the Coward Robert Ford    |     3
 Escape Plan                                                   |     3
 Me Before You                                                 |     2
 Bastille Day                                                  |     3
 Scream 4                                                      |     2
 Grindhouse                                                    |     3
 Avengers: Age of Ultron                                       |     3
 Goksung                                                       |     3
 To Rome with Love                                             |     2
 Harry Potter and the Order of the Phoenix                     |     3
 Eddie the Eagle                                               |     3
 Lucky Number Slevin                                           |     3
 Pirates of the Caribbean: Dead Man's Chest                    |     3
 Idiocracy                                                     |     3
 Hell or High Water                                            |     3
 The Belko Experiment                                          |     3
 Super 8                                                       |     3
 Ice Age: Collision Course                                     |     3
 The Spectacular Now                                           |     3
 Imperium                                                      |     3
 Ghost Rider                                                   |     3
 Resident Evil: Retribution                                    |     3
 Rules Don't Apply                                             |     3
 Final Girl                                                    |     2
 Real Steel                                                    |     3
 In Time                                                       |     3
 Män som hatar kvinnor                                         |     3
 The Man Who Knew Infinity                                     |     2
 Don Jon                                                       |     3
 Miss Sloane                                                   |     2
 Dark Shadows                                                  |     3
 Blue Jasmine                                                  |     1
 Sausage Party                                                 |     3
 Harry Potter and the Deathly Hallows: Part 1                  |     3
 I, Daniel Blake                                               |     1
 Zootopia                                                      |     3
