 movie_id | genre_id 
      501 |        5
      501 |       17
      502 |       11
      502 |       13
      503 |        5
      503 |        9
      503 |       13
      504 |        7
      504 |       13
      504 |       14
      505 |       11
      505 |       12
      505 |       13
      506 |        5
      506 |        9
      506 |       13
      507 |        5
      507 |        9
      507 |       13
      508 |        7
      508 |       11
      508 |       13
      509 |        7
      509 |       11
      510 |        5
      510 |       13
      510 |       17
      511 |       13
      511 |       20
      512 |        3
      512 |        9
      512 |       13
      513 |        5
      513 |       17
      514 |        1
      514 |        8
      514 |       13
      515 |        7
      515 |       13
      515 |       14
      516 |        7
      516 |       11
      516 |       13
      517 |        3
      517 |        8
      517 |       13
      518 |        3
      518 |        9
      518 |       13
      519 |        8
      519 |       12
      520 |       11
      520 |       13
      521 |        5
      521 |       10
      521 |       19
      522 |        5
      522 |        9
      522 |       13
      523 |        3
      523 |       10
      523 |       13
      524 |        7
      524 |       13
      524 |       19
      525 |        5
      525 |        9
      525 |       13
      526 |        3
      526 |       13
      526 |       19
      527 |        3
      527 |       13
      527 |       17
      528 |        1
      528 |        8
      529 |        3
      529 |        8
      529 |       17
      530 |        3
      530 |        4
      530 |        8
      531 |        7
      531 |       11
      531 |       13
      532 |        1
      532 |        5
      533 |        3
      533 |        5
      533 |       17
      534 |        3
      534 |        5
      534 |       17
      535 |       13
      535 |       19
      536 |        3
      536 |        9
      536 |       13
      537 |        3
      537 |        4
      537 |        9
      538 |        3
      538 |        7
      538 |        8
      539 |        5
      539 |        9
      539 |       13
      540 |        9
      540 |       13
      541 |        4
      541 |        5
      542 |        4
      542 |        5
      542 |       17
      543 |        3
      543 |        4
      543 |       17
      544 |       11
      544 |       13
      545 |        5
      545 |       13
      546 |        4
      546 |       13
      546 |       17
      547 |        7
      547 |       13
      548 |        6
      548 |        8
      548 |       12
      549 |        2
      549 |       13
      549 |       19
      550 |       13
      551 |        7
      551 |       11
      551 |       13
      552 |       11
      552 |       13
      552 |       19
      553 |        3
      553 |        8
      553 |       17
      554 |        5
      554 |       13
      554 |       17
      555 |        5
      555 |       11
      555 |       13
      556 |        4
      556 |        5
      557 |        4
      557 |        5
      558 |        3
      558 |       12
      558 |       13
      559 |        3
      559 |        8
      559 |       19
      560 |        7
      560 |        8
      560 |       17
      561 |        3
      561 |        5
      561 |        8
      562 |        1
      562 |       12
      563 |        1
      563 |        4
      564 |        7
      564 |        8
      564 |       18
      565 |        3
      565 |        8
      565 |       13
      566 |        6
      566 |        8
      566 |       12
      567 |        3
      567 |        8
      567 |       17
      568 |        7
      568 |       13
      569 |        7
      569 |       13
      570 |        5
      570 |        9
      570 |       13
      571 |        7
      571 |       11
      572 |        6
      572 |        7
      572 |       18
      573 |        7
      573 |       13
      574 |        7
      574 |       13
      575 |        2
      575 |       13
      575 |       19
      576 |        3
      576 |        8
      576 |       12
      577 |        3
      577 |       10
      577 |       13
      578 |        3
      578 |        8
      578 |       17
      579 |        3
      579 |        4
      579 |        8
      580 |        4
      580 |        9
      580 |       13
      581 |        3
      582 |        3
      582 |        6
      582 |        8
      583 |        7
      583 |       11
      584 |        7
      584 |       11
      584 |       13
      585 |        2
      585 |       13
      585 |       19
      586 |        3
      586 |        5
      586 |       12
      587 |        2
      587 |       13
      587 |       19
      588 |        3
      588 |       12
      588 |       13
      589 |        5
      589 |        8
      589 |       17
      590 |        7
      590 |        8
      590 |       18
      591 |        4
      591 |        5
      591 |       13
      592 |       11
      592 |       13
      593 |        4
      593 |        9
      593 |       13
      594 |        2
      594 |        7
      594 |       11
      595 |        6
      595 |        7
      596 |        1
      596 |        4
      596 |       13
      597 |        2
      597 |        3
      597 |       13
      598 |        3
      598 |        7
      598 |        8
      599 |        4
      599 |       13
      599 |       17
      600 |        3
      600 |        7
      600 |       18
      601 |        3
      601 |        9
      601 |       13
      602 |        3
      602 |        9
      602 |       13
      603 |        7
      603 |       11
      603 |       13
      604 |        3
      604 |        8
      604 |       18
      605 |        9
      605 |       13
      606 |       13
      607 |       13
      608 |        7
      608 |        9
      609 |       13
      610 |        3
      610 |        8
      610 |       12
      611 |       11
      611 |       12
      611 |       13
      612 |        7
      612 |       13
      613 |        5
      613 |       12
      613 |       13
      614 |        9
      614 |       13
      614 |       19
      615 |        7
      615 |       11
      615 |       13
      616 |        3
      616 |        9
      616 |       13
      617 |       17
      618 |        3
      618 |       13
      618 |       19
      619 |        3
      619 |        7
      619 |       11
      620 |        7
      620 |        8
      620 |       13
      621 |        7
      621 |        9
      621 |       13
      622 |        1
      622 |        3
      622 |       12
      623 |        1
      623 |       13
      624 |        1
      625 |        3
      625 |        5
      626 |        3
      626 |        4
      626 |        8
      627 |        3
      627 |        8
      627 |       12
      628 |        7
      628 |       11
      628 |       13
      629 |        4
      629 |        9
      629 |       13
      630 |        6
      630 |        7
      630 |        8
      631 |        7
      631 |       11
      631 |       13
      632 |        7
      633 |        1
      633 |        7
      633 |       13
      634 |        1
      634 |        5
      634 |       13
      635 |        6
      635 |        8
      635 |       18
      636 |        7
      636 |       11
      637 |        4
      637 |       11
      637 |       17
      638 |        9
      638 |       13
      639 |        1
      639 |        4
      639 |       13
      640 |        7
      641 |       13
      641 |       19
      642 |        5
      642 |        7
      642 |       13
      643 |        7
      643 |       15
      644 |       10
      644 |       13
      644 |       20
      645 |        1
      645 |       13
      645 |       17
      646 |       13
      647 |        7
      647 |       13
      648 |        1
      648 |        5
      648 |       12
      649 |       11
      649 |       13
      650 |        3
      650 |        7
      650 |       12
      651 |        1
      651 |       13
      651 |       16
      652 |        4
      652 |        9
      652 |       13
      653 |        1
      653 |        4
      653 |        5
      654 |        7
      654 |       14
      655 |       13
      656 |        9
      656 |       13
      656 |       19
      657 |       13
      658 |        3
      658 |        7
      658 |        8
      659 |        4
      659 |        9
      659 |       13
      660 |       13
      661 |        3
      661 |        7
      661 |        9
      662 |        7
      662 |       11
      662 |       13
      663 |        4
      663 |        9
      663 |       13
      664 |        3
      664 |        7
      664 |        9
      665 |       13
      666 |       11
      666 |       13
      667 |        4
      667 |        9
      667 |       13
      668 |        7
      668 |        8
      668 |       11
      669 |        7
      669 |        9
      669 |       13
      670 |        5
      670 |        8
      670 |       13
      671 |        9
      671 |       13
      671 |       19
      672 |        5
      672 |        9
      672 |       13
      673 |        5
      673 |       10
      673 |       13
      674 |        3
      674 |        8
      674 |       17
      675 |        3
      675 |        7
      676 |        1
      677 |        3
      677 |        4
      677 |        9
      678 |        7
      678 |       11
      679 |        7
      680 |        3
      680 |        5
      680 |       13
      681 |        3
      681 |        8
      681 |       17
      682 |        4
      682 |        5
      682 |       13
      683 |        7
      683 |       11
      683 |       13
      684 |        1
      684 |        3
      684 |       12
      685 |       11
      685 |       13
      686 |       13
      686 |       19
      687 |       13
      687 |       19
      688 |        3
      688 |        8
      688 |       17
      689 |        7
      689 |        8
      689 |       18
      690 |        4
      690 |        5
      690 |       13
      691 |        1
      691 |        3
      691 |       17
      692 |       11
      692 |       13
      693 |       13
      693 |       19
      694 |        3
      694 |        8
      694 |       13
      695 |        8
      695 |       12
      695 |       13
      696 |        6
      696 |       13
      697 |        7
      697 |       11
      697 |       13
      698 |       11
      698 |       13
      698 |       17
      699 |        3
      699 |        5
      699 |        8
      700 |        7
      700 |       11
      701 |        1
      701 |        9
      701 |       13
      702 |        7
      702 |       12
      703 |        3
      703 |        7
      703 |        9
      704 |        8
      704 |       11
      704 |       13
      705 |        3
      705 |        9
      705 |       13
      706 |        1
      706 |        5
      706 |        9
      707 |        5
      707 |       11
      707 |       17
      708 |        7
      708 |       11
      708 |       13
      709 |        9
      709 |       13
      710 |        4
      710 |        9
      710 |       13
      711 |        3
      711 |        8
      711 |       17
      712 |       12
      712 |       18
      713 |        7
      713 |        8
      713 |       18
      714 |        4
      714 |       13
      714 |       20
      715 |        7
      715 |       11
      716 |        6
      716 |        7
      716 |       18
      717 |        7
      718 |        1
      718 |        4
      718 |        5
      719 |        3
      719 |        8
      719 |       13
      720 |        7
      721 |       13
      722 |        8
      722 |       13
      722 |       19
      723 |        7
      724 |        1
      724 |        5
      725 |        3
      725 |        6
      725 |       13
      726 |        1
      726 |        7
      726 |       12
      727 |        7
      727 |       11
      728 |        4
      728 |       11
      728 |       13
      729 |        3
      729 |        7
      729 |        8
      730 |        5
      731 |        7
      732 |        7
      732 |        8
      732 |       17
      733 |        7
      733 |       12
      733 |       13
      734 |        4
      734 |        5
      735 |        7
      735 |       13
      736 |        6
      736 |        8
      736 |       13
      737 |        1
      737 |        5
      738 |        3
      738 |       11
      738 |       13
      739 |       11
      739 |       13
      740 |        3
      740 |        8
      740 |       12
      741 |        7
      742 |        3
      742 |       13
      742 |       19
      743 |        4
      743 |       11
      743 |       13
      744 |        8
      744 |       13
      744 |       15
      745 |       11
      745 |       13
      745 |       14
      746 |        7
      746 |       11
      746 |       15
      747 |        5
      748 |        7
      748 |       11
      748 |       13
      749 |        1
      749 |        5
      750 |        6
      750 |        8
      750 |       12
      751 |        4
      751 |        9
      751 |       13
      752 |        1
      752 |        4
      753 |        7
      753 |        9
      753 |       13
      754 |        3
      754 |        7
      754 |       11
      755 |       10
      755 |       13
      755 |       19
      756 |        8
      756 |       13
      757 |        5
      757 |       13
      758 |       13
      759 |        3
      759 |        8
      759 |       12
      760 |        3
      760 |       13
      760 |       19
      761 |       13
      761 |       14
      762 |        7
      762 |       13
      763 |        5
      763 |       13
      763 |       20
      764 |        3
      764 |        4
      764 |        5
      765 |        1
      765 |        5
      765 |       17
      766 |        7
      766 |       11
      766 |       13
      767 |        3
      767 |       17
      768 |        3
      768 |        8
      768 |       12
      769 |        4
      769 |       11
      769 |       13
      770 |       13
      771 |        3
      771 |        5
      771 |        8
      772 |        3
